page,rank,total_requests,num_domains,page_weight,has_analytics,has_advertising,has_cmp,tech_count,cmp_name
https://www.iefimerida.gr/,5000,59,13,900261,1.0,0.0,0.0,17.0,none
https://www.ign.com/,5000,897,225,18556788,0.0,0.0,0.0,0.0,none
https://www.iha.ee/,5000,71,8,968944,1.0,0.0,0.0,4.0,none
https://www.ilbe.com/,5000,90,17,3938179,1.0,1.0,0.0,15.0,none
https://www.ilfattoquotidiano.it/,5000,101,15,2151819,1.0,0.0,1.0,24.0,iubenda
https://www.ilgazzettino.it/,5000,90,21,1371659,1.0,1.0,1.0,27.0,iubenda
https://www.ilgiornale.it/,5000,416,142,3765547,1.0,1.0,1.0,28.0,Funding Choices
https://www.iliad.it/,5000,74,4,8095925,1.0,0.0,0.0,11.0,none
https://www.iloveimg.com/,5000,22,6,344371,1.0,0.0,0.0,9.0,none
https://www.ilrestodelcarlino.it/,5000,172,54,4759542,1.0,1.0,1.0,38.0,PubTech
https://www.immobiliare.it/,5000,99,30,1730073,1.0,1.0,1.0,22.0,Didomi
https://www.immobilienscout24.de/,5000,73,14,1577088,1.0,1.0,1.0,21.0,Usercentrics
https://www.immoweb.be/,5000,217,37,9227343,1.0,1.0,1.0,26.0,Usercentrics
https://www.immowelt.de/,5000,91,21,1865315,1.0,1.0,1.0,19.0,Usercentrics
https://www.impots.gouv.fr/,5000,22,2,863914,0.0,0.0,0.0,7.0,none
https://www.in.gr/,5000,139,33,4176935,1.0,1.0,1.0,30.0,Funding Choices
https://www.incometax.gov.in/,5000,164,5,3714450,0.0,0.0,0.0,13.0,none
https://www.independent.co.uk/,5000,940,226,3970015,1.0,1.0,0.0,41.0,none
https://www.india.com/,5000,898,208,4015280,1.0,1.0,1.0,32.0,Funding Choices
https://www.indianrail.gov.in/,5000,158,34,5417483,1.0,1.0,1.0,16.0,Funding Choices
https://www.indiapost.gov.in/,5000,93,1,2413796,1.0,0.0,0.0,7.0,none
https://www.indiatoday.in/,5000,722,189,3217808,1.0,1.0,1.0,34.0,Funding Choices
https://www.infojobs.com.br/,5000,81,6,1108602,1.0,0.0,1.0,12.0,Didomi
https://www.infojobs.net/,5000,120,21,3320375,1.0,1.0,1.0,24.0,Didomi
https://www.inps.it/,5000,62,6,2846219,1.0,0.0,0.0,17.0,none
https://www.instant-gaming.com/,5000,154,21,3976030,1.0,1.0,0.0,23.0,none
https://www.instiz.net/,5000,78,17,1622526,1.0,1.0,1.0,11.0,Funding Choices
https://www.investing.com/,5000,202,62,9075604,1.0,1.0,1.0,32.0,Conversant Consent Tool
https://www.investopedia.com/,5000,127,41,1485677,1.0,1.0,0.0,23.0,none
https://www.investorgain.com/,5000,61,12,970692,1.0,1.0,0.0,16.0,none
https://www.inxxx.com/,5000,122,9,2634659,1.0,0.0,0.0,7.0,none
https://www.iobnet.co.in/,5000,15,1,579310,0.0,0.0,0.0,5.0,none
https://www.ipat.jra.go.jp/,5000,5,1,9715,0.0,0.0,0.0,2.0,none
https://www.iplt20.com/,5000,99,16,1857162,1.0,0.0,0.0,18.0,none
https://www.irctc.co.in/,5000,119,22,4994159,1.0,1.0,1.0,23.0,Funding Choices
https://www.irs.gov/,5000,116,20,3052639,1.0,0.0,0.0,21.0,none
https://www.is.fi/,5000,127,15,2263941,0.0,1.0,0.0,17.0,none
https://www.islamweb.net/,5000,93,9,1736160,1.0,0.0,0.0,12.0,none
https://www.israelhayom.co.il/,5000,422,96,6607521,1.0,1.0,1.0,32.0,Funding Choices
https://www.istockphoto.com/,5000,143,28,8898567,1.0,1.0,0.0,22.0,none
https://www.itatiaia.com.br/,5000,154,31,4108637,1.0,1.0,1.0,29.0,Funding Choices
https://www.itau.com.br/,5000,127,24,1791312,1.0,0.0,0.0,26.0,none
https://www.itv.com/,5000,62,15,3008761,1.0,0.0,0.0,12.0,none
https://www.ixbt.com/,5000,142,17,1375651,1.0,1.0,0.0,11.0,none
https://www.ixigo.com/,5000,120,8,1040466,1.0,0.0,0.0,21.0,none
https://www.iza.ne.jp/,5000,726,203,3826993,1.0,1.0,1.0,36.0,OneTrust
https://www.jacresults.com/,5000,42,17,1760200,1.0,0.0,0.0,9.0,none
